# Japanese Wrong Kanji Correction Dictionary
# 日本語間違った漢字修正辞書
# Format: reading|correct_kanji|wrong_kanji(s)|keywords|full_example|freq|source
# Note: keywords/examples help context scoring; freq/source help metadata priority.
kanji|固執|固丸|verified_core,manual_curated,意見,主張|自分の意見に固執する|12|human_verified
kanji|積雪|積歩|verified_core,manual_curated,雪,道路|積雪で道路が滑りやすい|12|human_verified
kanji|努力|努方|verified_core,manual_curated,継続,目標|目標達成のために努力する|12|human_verified
kanji|遂行|逐行|verified_core,manual_curated,計画,実行|計画を遂行する|12|human_verified
kanji|休憩|休急|verified_core,manual_curated,仕事,時間|作業の合間に休憩を取る|12|human_verified
kanji|拡散|拡乱|verified_core,manual_curated,情報,広がる|情報が急速に拡散した|12|human_verified
kanji|矛盾|矛順|verified_core,manual_curated,論理,説明|説明に矛盾がある|12|human_verified
kanji|配布|配希|verified_core,manual_curated,資料,配る|会議資料を配布する|12|human_verified
kanji|繁栄|繋栄|verified_core,manual_curated,都市,経済|地域の繁栄を目指す|12|human_verified
kanji|循環|盾環|verified_core,manual_curated,資源,再利用|資源の循環を促進する|12|human_verified
kanji|導入|道入|verified_core,manual_curated,制度,開始|新しい制度を導入する|12|human_verified
kanji|鍛錬|鍛練|verified_core,manual_curated,訓練,継続|日々の鍛錬が大切だ|12|human_verified
kanji|渇望|喝望|verified_core,manual_curated,希望,強い願い|成功を渇望する|12|human_verified
kanji|複雑|複維|verified_core,manual_curated,問題,構造|複雑な問題を整理する|12|human_verified
kanji|率直|卒直|verified_core,manual_curated,意見,発言|率直な意見を述べる|12|human_verified
kanji|脅威|脇威|verified_core,manual_curated,危険,安全|新たな脅威に備える|12|human_verified
kanji|緩和|緩輪|verified_core,manual_curated,規制,負担|規制を段階的に緩和する|12|human_verified
kanji|謙虚|謙損|verified_core,manual_curated,態度,人柄|謙虚な姿勢を保つ|12|human_verified
kanji|添加|点加|verified_core,manual_curated,成分,食品|添加物の表示を確認する|12|human_verified
kanji|真相|真想|verified_core,manual_curated,事実,調査|事件の真相を調べる|12|human_verified
kanji|資質|質資|verified_core,manual_curated,能力,適性|指導者としての資質がある|12|human_verified
kanji|迅速|迅即|verified_core,manual_curated,対応,判断|迅速に対応する|12|human_verified
kanji|抽出|抽比|verified_core,manual_curated,データ,分析|必要な情報を抽出する|12|human_verified
kanji|枯渇|枯活|verified_core,manual_curated,資源,不足|水資源が枯渇する|12|human_verified
kanji|抽象的|抽像的|verified_core,manual_curated,説明,概念|抽象的な説明を具体化する|12|human_verified
kanji|環境破壊|環境破懐|verified_core,manual_curated,自然,保護|環境破壊を防ぐ対策が必要だ|12|human_verified
kanji|品質|品賃|verified_core,manual_curated,製品,管理|製品の品質を改善する|12|human_verified
kanji|隠蔽|隠幣|verified_core,manual_curated,情報,不正|情報の隠蔽は許されない|12|human_verified
kanji|伝統文化|伝等文化|verified_core,manual_curated,地域,歴史|伝統文化を次世代に継承する|12|human_verified
kanji|郵便局|郵更局|verified_core,manual_curated,手紙,窓口|郵便局で荷物を送る|12|human_verified
kanji|産業廃棄物|産業廃記物|verified_core,manual_curated,処理,環境|産業廃棄物の適切な処理が必要だ|12|human_verified
kanji|語彙|語彚|verified_core,manual_curated,言語,学習|語彙を増やす練習をする|12|human_verified
kanji|冷静|令静|coverage_boost,manual_curated,判断,感情|彼は常に冷静沈着で感情を表に出さない|10|human_verified
kanji|勇敢|勇歓|coverage_boost,manual_curated,少年,救助|勇敢な少年が子犬を助け出した|10|human_verified
kanji|摩擦|摩察|coverage_boost,manual_curated,部品,機械|激しい摩擦によって機械の部品が摩耗する|10|human_verified
kanji|制裁|制載|coverage_boost,manual_curated,社会,処分|厳正な社会的制裁を受けるべきだ|10|human_verified
kanji|孤独|孤濁|coverage_boost,manual_curated,感情,心理|孤独を恐れずに進み続ける|10|human_verified
kanji|睡眠|垂眠|coverage_boost,manual_curated,健康,休息|睡眠不足が続くと集中力が低下する|10|human_verified
kanji|粘り|帖り|coverage_boost,manual_curated,交渉,継続|粘り強い交渉の結果ようやく合意した|10|human_verified
kanji|基礎|甚礎|coverage_boost,manual_curated,教育,土台|教育の基礎を固めることが重要だ|10|human_verified
kanji|歓迎会|勧迎会|coverage_boost,manual_curated,新入社員,会|歓迎会では新入社員たちが緊張していた|10|human_verified
kanji|鋼鉄|剛鉄|coverage_boost,manual_curated,扉,金属|巨大な鋼鉄の扉がゆっくり閉まった|10|human_verified
kanji|肥料|肥量|coverage_boost,manual_curated,農業,作物|農業には質の良い肥料が欠かせない|10|human_verified
kanji|感謝|憾謝|coverage_boost,manual_curated,手紙,気持ち|心からの感謝の気持ちを込めて書いた|10|human_verified
kanji|故障|故章|coverage_boost,manual_curated,機械,停止|機械の故障が原因でラインが停止した|10|human_verified
kanji|救済|求済|coverage_boost,manual_curated,弱者,支援|弱者を守るための救済措置が求められる|10|human_verified
kanji|犠牲|儀牲|coverage_boost,manual_curated,代償,努力|多大な犠牲を払ってでも成し遂げたい|10|human_verified
kanji|享受|享愛|coverage_boost,manual_curated,恩恵,文明|文明の恩恵を毎日享受している|10|human_verified
